loop,traffic,network,location,FlowID,SrcAddress,DestAddress,Start,Count
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.021,5384
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.022,5222
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.023,5325
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.024,6460
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.025,6974
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.026,6635
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.027,5741
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.028,6283
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.029,10915
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.03,20698
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.031,11839
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.032,15763
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.033,18229
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.034,12473
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.035,9959
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.036,8572
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.037,10891
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.038,21355
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.039,43120
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.04,12322
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.041,7931
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.042,11631
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.044,4592
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.045,5043
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.046,5158
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.047,9073
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.048,19483
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.049,3960
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.05,5495
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.052,1267
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.053,712
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.054,427
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.055,360
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.056,410
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.057,615
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.058,120
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.06,20
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.061,14
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.062,1
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.063,6
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.064,1
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.065,1
1,Full,public,loc1,3,7.0.0.4,7.0.0.7,0.009,1
1,Full,public,loc1,3,7.0.0.4,7.0.0.7,0.01,6
1,Full,public,loc1,3,7.0.0.4,7.0.0.7,0.011,8
1,Full,public,loc1,3,7.0.0.4,7.0.0.7,0.012,32
1,Full,public,loc1,3,7.0.0.4,7.0.0.7,0.013,51
1,Full,public,loc1,3,7.0.0.4,7.0.0.7,0.014,104
1,Full,public,loc1,3,7.0.0.4,7.0.0.7,0.015,4087
1,Full,public,loc1,3,7.0.0.4,7.0.0.7,0.016,6851
