loop,network,location,traffic,FlowID,SrcAddress,DestAddress,Start,Count
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.134,8
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.135,6
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.136,33
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.137,43
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.138,40
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.139,38
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.14,23
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.141,15
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.142,23
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.144,7
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.145,14
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.146,6
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.147,3
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.148,7
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.149,1
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.153,6
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.154,2
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.155,1
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.16,3
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.162,1
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.164,1
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.168,1
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.169,1
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.171,4
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.172,4
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.173,5
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.174,2
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.176,2
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.177,1
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.178,1
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.184,6
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.185,4
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.186,4
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.187,3
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.188,1
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.191,8
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.192,5
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.193,5
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.197,1
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.198,2
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.199,2
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.201,2
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.202,3
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.203,14
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.204,3
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.21,7
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.211,4
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.214,2
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.215,4
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.216,2
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.217,7
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.218,2
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.219,3
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.22,7
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.221,6
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.222,4
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,1.014,2
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,1.016,1
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.008,111
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.009,192
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.01,205
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.011,217
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.012,276
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.013,357
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.014,631
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.015,14331
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.016,12179
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.017,10316
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.018,8081
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.019,5735
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.02,4523
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.021,3948
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.022,8146
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.023,6647
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.024,5553
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.025,4484
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.026,3571
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.027,2816
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.028,2431
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.029,4278
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.03,3966
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.031,3267
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.032,2601
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.033,2126
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.034,1698
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.035,1488
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.036,2823
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.037,3231
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.038,2443
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.039,1950
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.04,1609
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.041,1174
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.042,2197
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.044,852
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.045,702
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.046,592
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.047,381
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.048,364
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.049,202
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.05,403
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.052,134
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.053,85
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.054,71
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.055,60
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.056,57
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.057,50
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.058,96
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.06,54
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.061,66
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.062,47
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.063,53
