loop,network,location,traffic,FlowID,SrcAddress,DestAddress,Protocol,LostPackets,TxPackets,TxBytes,RxPackets,RxBytes,TimeFirstRxPacket,TimeLastTxPacket,TimeLastRxPacket,Throughput,Goodput
2,private,loc1,Light,1,7.0.0.2,7.0.0.5,TCP,2772,138341,81333188,135569,79703252,1.811999999,659.598999999,659.613999999,123643.81066405114,121166.02260254606
2,private,loc1,Light,2,7.0.0.3,7.0.0.6,TCP,4374,147908,86962528,143534,84390616,1.105999999,733.990999999,734.012999999,118655.30454438076,115145.05387450248
2,private,loc1,Light,3,7.0.0.4,7.0.0.7,TCP,3304,178487,104939800,175183,102997048,2.332999999,799.420999999,799.435999999,131471.3570429823,129214.22701959468
2,private,loc1,Light,4,7.0.0.5,7.0.0.2,TCP,620,77680,4211096,77060,4176600,1.826999999,659.583999999,659.598999999,6402.060288367398,6349.616584469999
2,private,loc1,Light,5,7.0.0.6,7.0.0.3,TCP,937,83895,4583064,82958,4530724,1.120999999,734.012999999,734.027999999,6253.268149983558,6181.853905065717
2,private,loc1,Light,6,7.0.0.7,7.0.0.4,TCP,1220,100260,5428044,99040,5361460,2.347999999,799.407999999,799.420999999,6809.953893924661,6726.435345319688
2,private,loc1,Light,7,7.0.0.8,7.0.0.9,TCP,3243,199850,117290336,196607,115392600,4.177999999,799.021999999,799.036999999,147006.1638926988,145173.67231169302
2,private,loc1,Light,8,7.0.0.9,7.0.0.10,TCP,3085,190710,111950360,187625,110140504,4.731999999,799.230999999,799.245999999,140373.9912757133,138626.2595750358
2,private,loc1,Light,9,7.0.0.9,7.0.0.8,TCP,2887,112862,6119156,109975,5963080,4.192999999,799.028999999,799.064999999,7698.49443480602,7501.93741885486
2,private,loc1,Light,10,7.0.0.10,7.0.0.9,TCP,702,106419,5745080,105717,5706744,4.746999999,799.218999999,799.230999999,7231.181882145334,7182.9564849638255
2,private,loc2,Light,1,7.0.0.2,7.0.0.5,TCP,2970,140679,82707328,137709,80960968,1.900999999,659.634999999,659.650999999,125742.8927734134,123087.75066514632
2,private,loc2,Light,2,7.0.0.3,7.0.0.6,TCP,3167,155190,91245060,152023,89382864,1.641999999,734.618999999,734.635999999,124482.97099690809,121942.14959467608
2,private,loc2,Light,3,7.0.0.4,7.0.0.7,TCP,3181,172517,101429988,169336,99559560,2.332999999,799.479999999,799.494999999,127074.8842175056,124892.50616562254
2,private,loc2,Light,4,7.0.0.5,7.0.0.2,TCP,647,79341,4310164,78694,4274360,1.915999999,659.620999999,659.634999999,6553.189807212795,6498.763149612524
2,private,loc2,Light,5,7.0.0.6,7.0.0.3,TCP,882,87246,4737476,86364,4687676,1.656999999,734.607999999,734.618999999,6463.432137370628,6395.523915291652
2,private,loc2,Light,6,7.0.0.7,7.0.0.4,TCP,1146,96962,5247828,95816,5184844,2.347999999,799.467999999,799.479999999,6583.361663959054,6504.373177842565
2,private,loc2,Light,7,7.0.0.8,7.0.0.9,TCP,3064,194807,114341788,191743,112545408,4.714999999,799.290999999,799.305999999,143357.51813333356,141639.4195252652
2,private,loc2,Light,8,7.0.0.9,7.0.0.10,TCP,3959,191028,112116884,187069,109795924,4.925999999,799.426999999,799.441999999,140582.45279785985,138192.2126174929
2,private,loc2,Light,9,7.0.0.9,7.0.0.8,TCP,3333,109654,5939092,106321,5759512,4.729999999,799.275999999,799.290999999,7474.683504476057,7248.671908135437
2,private,loc2,Light,10,7.0.0.10,7.0.0.9,TCP,562,107421,5835056,106859,5804904,4.940999999,799.413999999,799.426999999,7344.423074986658,7306.48998220233
3,private,loc1,Full,1,7.0.0.2,7.0.0.5,TCP,3124,135585,79715588,132461,77878676,1.391999999,659.013999999,659.034999999,121215.13616394471,118420.90009321166
3,private,loc1,Full,2,7.0.0.3,7.0.0.6,TCP,3167,146929,86384980,143762,84522784,1.916999999,734.611999999,734.619999999,117897.80463494806,115357.49683022998
3,private,loc1,Full,3,7.0.0.4,7.0.0.7,TCP,3221,177176,104170784,173955,102276836,2.332999999,799.478999999,799.493999999,130469.63714474838,128301.35443153892
3,private,loc1,Full,4,7.0.0.5,7.0.0.2,TCP,551,76661,4177688,76110,4146540,1.406999999,659.034999999,659.046999999,6352.51648690855,6305.1821665348825
3,private,loc1,Full,5,7.0.0.6,7.0.0.3,TCP,847,82970,4505212,82123,4458976,1.931999999,734.603999999,734.611999999,6148.890317420672,6085.843751706066
3,private,loc1,Full,6,7.0.0.7,7.0.0.4,TCP,1274,99500,5389756,98226,5319060,2.347999999,799.463999999,799.478999999,6761.443225768412,6672.755168222036
3,private,loc1,Full,7,7.0.0.8,7.0.0.9,TCP,2780,231362,136030652,228582,134396544,4.438999999,799.500999999,799.515999999,170444.91530361382,169035.88457470157
3,private,loc1,Full,8,7.0.0.9,7.0.0.10,TCP,3531,217062,127629432,213531,125553736,4.047999999,798.989999999,799.008999999,159945.16706802082,157936.9755245855
3,private,loc1,Full,9,7.0.0.9,7.0.0.8,TCP,4766,129665,6999448,124899,6740792,4.484999999,799.485999999,799.500999999,8803.816629708683,8478.813005021282
3,private,loc1,Full,10,7.0.0.10,7.0.0.9,TCP,805,121214,6551120,120409,6507020,4.062999999,799.008999999,799.035999999,8240.806781716336,8185.208805833658
3,private,loc2,Full,1,7.0.0.2,7.0.0.5,TCP,3123,131593,77370812,128470,75534488,1.457999999,659.010999999,659.035999999,117662.00992559089,114867.723676887
3,private,loc2,Full,2,7.0.0.3,7.0.0.6,TCP,3443,149612,87963000,146169,85938516,1.194999999,734.631999999,734.646999999,119930.1038145371,117169.92523028092
3,private,loc2,Full,3,7.0.0.4,7.0.0.7,TCP,3974,175470,103168924,171496,100832212,2.332999999,799.553999999,799.568999999,129250.57326283904,126477.2438775971
3,private,loc2,Full,4,7.0.0.5,7.0.0.2,TCP,626,74244,4042584,73618,4007592,1.472999999,659.035999999,659.044999999,6147.687422632753,6094.52957242705
